ID,day,month,year,hour,minute,second,latitude,longitude,depth,mw,mw_err,mc,cluster_id
227,16,7,1865,1,34,0,36.8333,-2.4667,0,3.836,0.264,5.25,0
228,25,9,1866,23,30,0,38.2667,-0.7,0,4.381,0.294,5.25,0
229,11,10,1866,0,10,0,38.2667,-0.7,0,4.1085,0.279,5.25,0
230,3,2,1867,20,20,0,38,-0.7,0,5.1985,0.339,5.25,17
231,14,2,1867,10,30,0,38,-0.7,0,3.836,0.264,5.25,17
232,22,2,1867,10,0,0,38,-0.7,0,4.1085,0.279,5.25,17
233,30,9,1867,22,25,0,38.2667,-0.7,0,4.1085,0.279,5.25,0
234,21,6,1868,11,45,0,36.8333,-2.4667,0,4.6535,0.309,5.25,0
235,28,7,1869,21,15,0,38.2667,-0.7,0,3.836,0.264,5.25,0
236,30,12,1869,18,30,0,38.7,-0.4667,0,3.5635,0.249,5.25,0
237,5,5,1871,0,15,0,38.7,-0.4667,0,3.291,0.234,5.25,0
238,19,11,1871,10,15,0,38.7667,-0.55,0,4.1085,0.279,5.25,0
239,21,2,1872,1,5,0,37.7667,-1.5,0,4.1085,0.279,5.25,0
240,29,7,1872,1,0,0,38.7,-0.4667,0,3.5635,0.249,5.25,165
241,31,7,1872,0,0,0,38.7,-0.4667,0,3.291,0.234,5.25,165
242,22,1,1873,0,0,0,38.35,-0.4833,0,3.5635,0.249,5.25,0
243,11,3,1873,0,0,0,36.8333,-2.4667,0,3.836,0.264,5.25,0
244,23,5,1874,23,55,0,38.35,-0.4833,0,3.836,0.264,5.25,113
245,24,5,1874,2,0,0,38.35,-0.4833,0,3.291,0.234,5.25,113
246,26,9,1876,0,0,0,38,-1.1167,0,3.0185,0.219,5.25,0
247,9,2,1877,22,3,0,37.9833,-0.6833,0,4.1085,0.279,5.25,0
248,22,12,1877,23,37,0,38.35,-0.4833,0,4.1085,0.279,5.25,0
249,17,2,1878,0,0,0,38,-1.1333,0,3.5635,0.249,5.25,0
250,1,1,1879,0,0,0,38,-1.1333,0,3.291,0.234,5.25,0
251,15,6,1880,21,30,0,38,-1.1333,0,3.836,0.264,5.25,0
252,22,2,1881,14,15,0,37.5833,-1,0,3.836,0.264,5.25,0
253,5,6,1881,0,0,0,38.15,-1.3333,0,3.291,0.234,5.25,0
254,6,7,1881,0,0,0,37.5833,-1,0,4.1085,0.279,5.25,0
255,10,3,1882,0,0,0,37.9833,-1.1333,0,3.291,0.234,5.25,0
256,26,6,1882,14,0,0,37.4,-1.5833,0,3.5635,0.249,5.25,0
